start_MilitaryExp,end_MilitaryExp,MilitaryExp,war_flag,Wars
12/31/1957,12/31/1958,9.440458091,1,
12/31/1958,12/31/1959,8.921339713,1,
12/31/1959,12/31/1960,8.352659672,1,
12/31/1960,12/31/1961,8.487129416,1,
12/31/1961,12/31/1962,8.65658701,1,
12/31/1962,12/31/1963,8.189008456,1,
12/31/1963,12/31/1964,7.467630213,1,
12/31/1964,12/31/1965,6.968805701,1,
12/31/1965,12/31/1966,8.291042945,1,
12/31/1966,12/31/1967,8.755715446,1,
12/31/1967,12/31/1968,8.565729443,1,Vietnam
12/31/1968,12/31/1969,7.985684871,1,
12/31/1969,12/31/1970,7.233665582,1,
12/31/1970,12/31/1971,6.410515499,1,
12/31/1971,12/31/1972,6.054195259,1,
12/31/1972,12/31/1973,5.487224361,1,
12/31/1973,12/31/1974,5.546616736,1,
12/31/1974,12/31/1975,5.385043519,1,
12/31/1975,12/31/1976,4.84730507,,
12/31/1976,12/31/1977,4.838207095,,
12/31/1977,12/31/1978,4.635788848,,
12/31/1978,12/31/1979,4.645682155,,
12/31/1979,12/31/1980,5.02990393,,
12/31/1980,12/31/1981,5.290812831,,
12/31/1981,12/31/1982,5.86980568,,
12/31/1982,12/31/1983,5.97009428,,
12/31/1983,12/31/1984,5.866607271,,
12/31/1984,12/31/1985,5.640002761,,
12/31/1985,12/31/1986,5.783625986,,
12/31/1986,12/31/1987,5.625354195,,
12/31/1987,12/31/1988,5.36753227,,
12/31/1988,12/31/1989,5.212011948,,
12/31/1989,12/31/1990,4.845725467,,
12/31/1990,12/31/1991,4.249902818,1,Persian Gulf
12/31/1991,12/31/1992,4.387197406,,
12/31/1992,12/31/1993,4.326398884,,
12/31/1993,12/31/1994,4.011794002,,
12/31/1994,12/31/1995,3.625135371,,
12/31/1995,12/31/1996,3.422804375,,
12/31/1996,12/31/1997,3.209897195,,
12/31/1997,12/31/1998,3.077300533,,
12/31/1998,12/31/1999,3.024108233,,
12/31/1999,12/31/2000,2.947417548,,
12/31/2000,12/31/2001,3.034937581,,
12/31/2001,12/31/2002,3.175176497,,
12/31/2002,12/31/2003,3.517770422,1,Afghanistan/Iraq
12/31/2003,12/31/2004,3.714148384,1,
12/31/2004,12/31/2005,3.782933777,1,
12/31/2005,12/31/2006,3.766193463,1,
12/31/2006,12/31/2007,3.816709952,1,
12/31/2007,12/31/2008,4.531681002,1,
12/31/2008,12/31/2009,4.625937151,1,
12/31/2009,12/31/2010,4.617625832,1,
12/31/2010,12/31/2011,4.427145426,1,
12/31/2011,12/31/2012,3.995592778,1,
12/31/2012,12/31/2013,3.460443939,1,
12/31/2013,12/31/2014,3.342704866,1,
12/31/2014,12/31/2015,3.107015735,1,
12/31/2015,12/31/2016,3.125673288,1,
12/31/2016,12/31/2017,2.972303421,1,
