Date,series1,series2,series3,series4,name,name_x,name_y
1/1/1968,0.111074525,0.231149,0.100813195,0.226646366,,,
4/1/1968,0.113745594,0.233365,0.100813195,0.226646366,,,
7/1/1968,0.105743988,0.225979,0.100813195,0.226646366,,,
10/1/1968,0.106071539,0.227090,0.100813195,0.226646366,,,
1/1/1969,0.113924051,0.234981,0.100813195,0.226646366,,,
4/1/1969,0.107771406,0.229781,0.100813195,0.226646366,,,
7/1/1969,0.107751938,0.230136,0.100813195,0.226646366,,,
10/1/1969,0.095512636,0.219660,0.100813195,0.226646366,,,
1/1/1970,0.090080683,0.215567,0.100813195,0.226646366,,,
4/1/1970,0.088870199,0.215214,0.100813195,0.226646366,,,
7/1/1970,0.088011024,0.215067,0.100813195,0.226646366,,,
10/1/1970,0.079157123,0.208704,0.100813195,0.226646366,,,
1/1/1971,0.090525576,0.217525,0.100813195,0.226646366,,,
4/1/1971,0.093237882,0.220545,0.100813195,0.226646366,,,
7/1/1971,0.093959163,0.221300,0.100813195,0.226646366,,,
10/1/1971,0.086963807,0.215231,0.100813195,0.226646366,,,
1/1/1972,0.094747933,0.221268,0.100813195,0.226646366,,,
4/1/1972,0.101330604,0.226596,0.100813195,0.226646366,,,
7/1/1972,0.100324625,0.225846,0.100813195,0.226646366,,,
10/1/1972,0.102327327,0.226952,0.100813195,0.226646366,,,
1/1/1973,0.108857826,0.232129,0.100813195,0.226646366,,,
4/1/1973,0.111949774,0.235468,0.100813195,0.226646366,,,
7/1/1973,0.103354677,0.228911,0.100813195,0.226646366,,,
10/1/1973,0.108511933,0.234670,0.100813195,0.226646366,,,
1/1/1974,0.097477755,0.227002,0.100813195,0.226646366,,,
4/1/1974,0.099009256,0.230413,0.100813195,0.226646366,,,
7/1/1974,0.088780862,0.223295,0.100813195,0.226646366,,,
10/1/1974,0.088396756,0.225078,0.100813195,0.226646366,,,
1/1/1975,0.061558409,0.202149,0.100813195,0.226646366,,,
4/1/1975,0.052825404,0.194699,0.100813195,0.226646366,,,
7/1/1975,0.063893103,0.204575,0.100813195,0.226646366,,,
10/1/1975,0.067784133,0.207316,0.100813195,0.226646366,,,
1/1/1976,0.0804604,0.217923,0.100813195,0.226646366,,,
4/1/1976,0.08374172,0.221498,0.100813195,0.226646366,,,
7/1/1976,0.08214758,0.220577,0.100813195,0.226646366,,,
10/1/1976,0.080994635,0.219563,0.100813195,0.226646366,,,
1/1/1977,0.088130489,0.226750,0.100813195,0.226646366,,,
4/1/1977,0.096980876,0.234880,0.100813195,0.226646366,,,
7/1/1977,0.101583113,0.239257,0.100813195,0.226646366,,,
10/1/1977,0.098999401,0.237746,0.100813195,0.226646366,,,
1/1/1978,0.098926971,0.239236,0.100813195,0.226646366,,,
4/1/1978,0.109518103,0.246341,0.100813195,0.226646366,,,
7/1/1978,0.113426987,0.250990,0.100813195,0.226646366,,,
10/1/1978,0.116428974,0.253686,0.100813195,0.226646366,,,
1/1/1979,0.111945015,0.251067,0.100813195,0.226646366,,,
4/1/1979,0.112408028,0.252822,0.100813195,0.226646366,,,
7/1/1979,0.109946075,0.251273,0.100813195,0.226646366,,,
10/1/1979,0.104588567,0.247592,0.100813195,0.226646366,,,
1/1/1980,0.102306454,0.246844,0.100813195,0.226646366,,,
4/1/1980,0.084145862,0.233580,0.100813195,0.226646366,,,
7/1/1980,0.068601399,0.220070,0.100813195,0.226646366,,,
10/1/1980,0.080908635,0.230633,0.100813195,0.226646366,,,
1/1/1981,0.096589821,0.244524,0.100813195,0.226646366,,,
4/1/1981,0.08742462,0.238437,0.100813195,0.226646366,,,
7/1/1981,0.093707838,0.244695,0.100813195,0.226646366,,,
10/1/1981,0.088015837,0.242211,0.100813195,0.226646366,,,
1/1/1982,0.06689474,0.225579,0.100813195,0.226646366,,,
4/1/1982,0.06577012,0.225197,0.100813195,0.226646366,,,
7/1/1982,0.062516706,0.222892,0.100813195,0.226646366,,,
10/1/1982,0.048741123,0.209167,0.100813195,0.226646366,,,
1/1/1983,0.051374881,0.209781,0.100813195,0.226646366,,,
4/1/1983,0.062643005,0.217953,0.100813195,0.226646366,,,
7/1/1983,0.071364732,0.223953,0.100813195,0.226646366,,,
10/1/1983,0.085824926,0.236216,0.100813195,0.226646366,,,
1/1/1984,0.100874054,0.249105,0.100813195,0.226646366,,,
4/1/1984,0.104458281,0.251233,0.100813195,0.226646366,,,
7/1/1984,0.106155502,0.252703,0.100813195,0.226646366,,,
10/1/1984,0.103119877,0.249976,0.100813195,0.226646366,,,
1/1/1985,0.093839981,0.240194,0.100813195,0.226646366,,,
